,Subject,Guessed-B,Questions-B,Questions-C,Guessed-C,Questions-S,Guessed-S
484,Royal_College_of_Art,Yes,14,14,Yes,16,Yes
485,"Launceston,_Tasmania",No,20,15,Yes,13,Yes
486,Mark_Ronson,Yes,12,12,Yes,13,Yes
487,Todd_Haynes,No,20,20,No,20,No
488,Aston_Villa_F.C.,No,20,14,Yes,20,No
489,Mali_Finn,No,20,20,No,20,No
490,Industrial_engineering,No,20,20,No,20,No
491,James_Earl_Jones,Yes,12,13,Yes,13,Yes
492,Matt_Damon,Yes,14,13,Yes,12,Yes
493,I_Know_Who_Killed_Me,Yes,17,17,Yes,19,Yes
494,Gentleman's_Agreement,Yes,13,14,Yes,13,Yes
495,Into_the_Storm_(2009_film),Yes,20,20,Yes,20,Yes
496,"Lowell,_Massachusetts",Yes,19,20,No,13,Yes
497,Villanova_Wildcats_men's_basketball,Yes,15,14,Yes,15,Yes
498,Warren_G._Harding,Yes,19,16,Yes,17,Yes
499,Carrie_Fisher,Yes,13,13,Yes,13,Yes
